make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-size,horsepower,price,length_min_max,width_std,height_log,price_decile
volkswagen,gas,std,four,sedan,fwd,front,97.3,171.7,65.5,55.7,2300,109,100.0,9995.0,0.4567164179104477,-0.18394321569797858,4.019980146933238,5
honda,gas,std,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,110,100.0,10345.0,0.417910447761194,0.05340286907360495,3.9318256327243257,6
bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,108,101.0,16430.0,0.5328358208955226,-0.5162277343781969,3.9945242269398897,8
mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,70,101.0,11845.0,0.4164179104477613,-0.08900478178934383,3.903990833730882,6
honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,110,101.0,12945.0,0.5119402985074628,-0.3263508665609274,3.9908341858524357,7
mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,70,101.0,10945.0,0.4164179104477613,-0.08900478178934383,3.903990833730882,6
mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,70,101.0,13645.0,0.4164179104477613,-0.08900478178934383,3.903990833730882,7
bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,108,101.0,16925.0,0.5328358208955226,-0.5162277343781969,3.9945242269398897,8
dodge,gas,turbo,four,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,98,102.0,8558.0,0.24179104477611965,-0.990919903921364,3.92395157629342,4
mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,98,102.0,7689.0,0.24179104477611965,-0.990919903921364,3.927896354584436,3
dodge,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,98,102.0,7957.0,0.24179104477611965,-0.990919903921364,3.927896354584436,3
plymouth,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,98,102.0,7957.0,0.24179104477611965,-0.990919903921364,3.927896354584436,3
volvo,diesel,turbo,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,145,106.0,22470.0,0.711940298507463,1.4300101607487923,4.0163830207523885,9
saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,121,110.0,15040.0,0.6791044776119403,0.2907489538451885,4.027135812528651,7
saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,121,110.0,12170.0,0.6791044776119403,0.2907489538451885,4.027135812528651,6
audi,gas,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,136,110.0,18920.0,0.7701492537313432,2.6167405846067098,4.019980146933238,9
volkswagen,gas,std,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,136,110.0,13295.0,0.5835820895522387,0.48062582166245804,4.009149716158869,7
audi,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,136,110.0,15250.0,0.5402985074626868,0.19581051993655374,3.9721769282478934,7
audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,136,110.0,17710.0,0.7701492537313432,2.6167405846067098,4.019980146933238,9
saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,121,110.0,15510.0,0.6791044776119403,0.2907489538451885,4.027135812528651,8
saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,121,110.0,11850.0,0.6791044776119403,0.2907489538451885,4.027135812528651,6
subaru,gas,turbo,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,108,111.0,11694.0,0.48507462686567165,-0.2314124326522926,4.005513348515485,6
alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,130,111.0,16500.0,0.4134328358208958,-0.8485122530584153,3.8877303128591016,8
